2694.69,79
2693.89,119
2695.31,331
2695.11,293
2694.34,383
2695.34,300
2695.98,135
2696.55,42
2693.26,113
2697.76,415
2698.76,212
2700.01,459
2700.15,482
2701.38,453
2699.59,321
2698.64,332
2698.95,296
2698.82,468
2700.52,434
2698.5,386
2699.86,438
2702.5,421
2701.91,491
2701.9,240
2701.69,444
2700.18,291
2699.83,348
2700.18,416
2699.94,425
2699.8,468
2699.52,443
2700.95,431
2700.66,487
2701.58,441
2701.52,458
2700.75,448
2701.02,452
2699.93,408
2700.21,472
2697.64,497
2698.83,534
2701.06,394
2700.18,405
2700.52,335
2700.22,300
2697.62,211
2698.87,305
2697.64,255
2696.51,311
2694.98,211
2694.67,171
2693.87,231
2694.48,226
2695.82,201
2697.14,243
2697.77,277
2696.14,169
2695.42,142
2695.09,165
2694.78,138
2694.81,159
2694.3,112
2694.72,111
2694.17,108
2695.12,150
2693.8,109
2693.56,81
2693.54,114
2692.86,145
2692.93,202
2693.16,132
2692.82,91
2692.6,60
2692.51,93
2692.21,117
2692.63,109
2691.86,103
2691.61,355
2691.55,311
2692.48,243
2692.31,214
2692.0,196
2691.53,232
2691.29,189
2691.48,231
2691.22,218
2691.96,218
2692.14,191
2691.52,237
2692.01,220
2692.18,226
2691.54,262
2691.43,244
2692.24,232
2692.12,242
2692.62,263
2694.15,274
2693.27,272
2692.92,267
2692.59,283
2692.31,257
2692.45,293
2692.72,335
2692.66,336
2692.63,308
2692.48,262
2692.89,303
2692.42,355
2694.24,300
2693.95,312
2694.54,311
2694.68,287
2694.31,283
2694.32,325
2695.33,317
2693.86,303
2693.96,320
2691.16,327
2692.1,346
2690.79,297
2692.43,347
2693.29,316
2693.28,299
2691.91,260
2691.5,345
2692.13,329
2689.56,344
2690.32,350
2689.82,386
2688.8,350
2687.41,439
2687.53,453
2688.03,426
2688.55,461
2689.31,464
2690.01,488
2688.88,483
2687.32,450
2685.8,430
2685.9,415
2685.73,454
2685.14,456
2685.89,451
2687.75,445
2687.04,449
2688.6,425
2688.43,436
2688.62,462
2687.49,499
2688.88,550
2691.09,496
2689.57,519
2689.39,485
2687.98,503
2688.03,523
2685.06,454
2683.74,479
2683.81,437
2682.24,467
2680.07,460
2681.06,449
2680.38,461
2679.97,448
2679.15,417
2677.54,425
2676.01,433
2673.74,473
2674.71,424
2674.99,442
2672.7,422
2673.7,461
2676.24,458
2676.28,505
2677.73,340
2677.84,350
2676.2,339
2675.38,372
2674.87,404
2676.01,396
2677.63,386
2676.84,362
2676.96,424
2677.94,412
2678.28,430
2675.19,401
2674.61,385
2673.0,314
2672.29,269
2672.29,351
2672.36,331
2671.77,339
2671.43,332
2670.38,315
2670.98,423
2672.72,340
2672.55,334
2673.32,430
2675.47,368
2675.1,404
2675.2,334
2673.79,423
2673.28,419
2669.27,397
2668.41,317
2667.15,269
2667.19,302
2665.92,263
2665.16,271
2665.85,332
2664.99,316
2664.32,407
2665.66,356
2665.33,353
2663.41,335
2664.63,313
2663.44,337
2665.02,357
2664.98,298
2664.17,332
2664.85,381
2662.21,403
2663.24,391
2663.12,296
2662.38,363
2663.31,374
2665.09,397
2663.18,356
2662.3,366
2661.82,359
2662.93,362
2662.23,413
2664.94,438
2663.31,386
2664.64,350
2665.2,336
2666.3,343
2667.49,290
2669.32,238
2669.46,278
2668.7,286
2669.19,324
